,Date,Período,Região,Estado,Variante,Variantes relevantes,Classificação,Quantidade
0,2020-02,Fev 2020,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,1
1,2020-02,Fev 2020,Sudeste,Espírito Santo,B.40,Não VOC/VOI,Não VOC/VOI,1
2,2020-02,Fev 2020,Sudeste,São Paulo,B,Não VOC/VOI,Não VOC/VOI,1
3,2020-02,Fev 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,3
4,2020-02,Fev 2020,Sul,Paraná,B.1.1,Não VOC/VOI,Não VOC/VOI,2
5,2020-03,Mar 2020,Centro-oeste,Distrito Federal,B,Não VOC/VOI,Não VOC/VOI,1
6,2020-03,Mar 2020,Centro-oeste,Distrito Federal,B.1.1,Não VOC/VOI,Não VOC/VOI,1
7,2020-03,Mar 2020,Centro-oeste,Distrito Federal,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
8,2020-03,Mar 2020,Centro-oeste,Goiás,B.1.1,Não VOC/VOI,Não VOC/VOI,1
9,2020-03,Mar 2020,Centro-oeste,Goiás,B.1.22,Não VOC/VOI,Não VOC/VOI,1
10,2020-03,Mar 2020,Centro-oeste,Goiás,B.40,Não VOC/VOI,Não VOC/VOI,1
11,2020-03,Mar 2020,Centro-oeste,Mato Grosso,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
12,2020-03,Mar 2020,Centro-oeste,Mato Grosso,B.4,Não VOC/VOI,Não VOC/VOI,2
13,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1,Não VOC/VOI,Não VOC/VOI,1
14,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
15,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
16,2020-03,Mar 2020,Centro-oeste,Mato Grosso do Sul,B.1.547,Não VOC/VOI,Não VOC/VOI,1
17,2020-03,Mar 2020,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
18,2020-03,Mar 2020,Nordeste,Bahia,A.1,Não VOC/VOI,Não VOC/VOI,1
19,2020-03,Mar 2020,Nordeste,Bahia,B.1,Não VOC/VOI,Não VOC/VOI,6
20,2020-03,Mar 2020,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,3
21,2020-03,Mar 2020,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,4
22,2020-03,Mar 2020,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
23,2020-03,Mar 2020,Nordeste,Bahia,B.1.234,Não VOC/VOI,Não VOC/VOI,1
24,2020-03,Mar 2020,Nordeste,Bahia,B.3,Não VOC/VOI,Não VOC/VOI,1
25,2020-03,Mar 2020,Nordeste,Ceará,B.1,Não VOC/VOI,Não VOC/VOI,19
26,2020-03,Mar 2020,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
27,2020-03,Mar 2020,Nordeste,Ceará,B.1.212,Não VOC/VOI,Não VOC/VOI,7
28,2020-03,Mar 2020,Nordeste,Maranhão,B.1.1,Não VOC/VOI,Não VOC/VOI,1
29,2020-03,Mar 2020,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
30,2020-03,Mar 2020,Nordeste,Paraíba,B.1.212,Não VOC/VOI,Não VOC/VOI,1
31,2020-03,Mar 2020,Nordeste,Piauí,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
32,2020-03,Mar 2020,Nordeste,Rio Grande do Norte,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
33,2020-03,Mar 2020,Nordeste,Sergipe,B.1,Não VOC/VOI,Não VOC/VOI,2
34,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1,Não VOC/VOI,Não VOC/VOI,1
35,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
36,2020-03,Mar 2020,Nordeste,Sergipe,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
37,2020-03,Mar 2020,Nordeste,Sergipe,B.59,Não VOC/VOI,Não VOC/VOI,1
38,2020-03,Mar 2020,Norte,Acre,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
39,2020-03,Mar 2020,Norte,Acre,B.1.212,Não VOC/VOI,Não VOC/VOI,3
40,2020-03,Mar 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
41,2020-03,Mar 2020,Norte,Amazonas,A.2,Não VOC/VOI,Não VOC/VOI,2
42,2020-03,Mar 2020,Norte,Amazonas,B.1.195,Não VOC/VOI,Não VOC/VOI,2
43,2020-03,Mar 2020,Norte,Pará,B.1,Não VOC/VOI,Não VOC/VOI,1
44,2020-03,Mar 2020,Norte,Pará,B.1.1,Não VOC/VOI,Não VOC/VOI,1
45,2020-03,Mar 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
46,2020-03,Mar 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
47,2020-03,Mar 2020,Norte,Pará,B.1.212,Não VOC/VOI,Não VOC/VOI,2
48,2020-03,Mar 2020,Sudeste,Minas Gerais,B,Não VOC/VOI,Não VOC/VOI,1
49,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1,Não VOC/VOI,Não VOC/VOI,20
50,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1,Não VOC/VOI,Não VOC/VOI,10
51,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.1,Não VOC/VOI,Não VOC/VOI,1
52,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
53,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
54,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.372,Não VOC/VOI,Não VOC/VOI,1
55,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.1.71,Não VOC/VOI,Não VOC/VOI,1
56,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.110,Não VOC/VOI,Não VOC/VOI,2
57,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.153,Não VOC/VOI,Não VOC/VOI,1
58,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.212,Não VOC/VOI,Não VOC/VOI,1
59,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.314,Não VOC/VOI,Não VOC/VOI,1
60,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.333,Não VOC/VOI,Não VOC/VOI,2
61,2020-03,Mar 2020,Sudeste,Minas Gerais,B.1.9,Não VOC/VOI,Não VOC/VOI,1
62,2020-03,Mar 2020,Sudeste,Minas Gerais,B.39,Não VOC/VOI,Não VOC/VOI,1
63,2020-03,Mar 2020,Sudeste,Minas Gerais,B.59,Não VOC/VOI,Não VOC/VOI,1
64,2020-03,Mar 2020,Sudeste,Minas Gerais,B.60,Não VOC/VOI,Não VOC/VOI,1
65,2020-03,Mar 2020,Sudeste,Minas Gerais,B.61,Não VOC/VOI,Não VOC/VOI,1
66,2020-03,Mar 2020,Sudeste,Rio de Janeiro,A.2,Não VOC/VOI,Não VOC/VOI,2
67,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.1,Não VOC/VOI,Não VOC/VOI,15
68,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.1.1,Não VOC/VOI,Não VOC/VOI,2
69,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.1.1.33,Não VOC/VOI,Não VOC/VOI,21
70,2020-03,Mar 2020,Sudeste,Rio de Janeiro,B.39,Não VOC/VOI,Não VOC/VOI,3
71,2020-03,Mar 2020,Sudeste,São Paulo,B,Não VOC/VOI,Não VOC/VOI,3
72,2020-03,Mar 2020,Sudeste,São Paulo,B.1,Não VOC/VOI,Não VOC/VOI,25
73,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1,Não VOC/VOI,Não VOC/VOI,23
74,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1.28,Não VOC/VOI,Não VOC/VOI,132
75,2020-03,Mar 2020,Sudeste,São Paulo,B.1.1.33,Não VOC/VOI,Não VOC/VOI,51
76,2020-03,Mar 2020,Sudeste,São Paulo,B.1.110,Não VOC/VOI,Não VOC/VOI,3
